"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Anacostia High School",450,"1601 16th St  SE","837","Full",2012,"HS",204992,"FULL MOD",68228069,0,68860993,-76.983077254,38.870083725,"8","","",661,0,586,186,0.886535552193646,0.281391830559758,0,310.124054462935,103219.468986384,332.83283737902
"DCPS","Coolidge High School",455,"6315 5th St  NW","1105","Phase 0",NA,"HS",271300,"STABILIZED",2537691,116633000,122176717,-77.019578251,38.967284215,"4","","",395,50,301,104,0.762025316455696,0.263291139240506,0.126582278481013,686.835443037975,6424.53417721519,9.35381865093992
"DCPS","Deal Middle School",405,"3815 Fort Dr  NW","1370","Full",2014,"MS",223689,"FULL MOD + ADD",73524856,0,74154641,-77.075199068,38.952896407,"3","","Wilson HS",1312,47,99,166,0.0754573170731707,0.126524390243902,0.0358231707317073,170.494664634146,56040.2865853659,328.692318352713
"DCPS","Eastern High School",457,"1700 East Capitol St NE","1100","Full",2010,"HS",310721,"FULL MOD",74502874,0,74503071,-76.979684293,38.890402328,"6","","",1025,3,714,296,0.696585365853658,0.288780487804878,0.00292682926829268,303.14243902439,72685.7307317073,239.774183270522
"DCPS","Eliot-Hine Middle School",407,"1830 Constitution Ave  NE","742","Phase 0",NA,"MS",155072,"STABILIZED",210957,40911043,42653975,-76.978977919,38.892431159,"6","","Eastern HS",257,2,161,63,0.626459143968872,0.245136186770428,0.00778210116731518,603.392996108949,820.844357976654,1.36038098431696
"DCPS","Ellington School of the Arts",471,"2501 11th St NW",NA,"Full",2017,"HS",167500,"FULL MOD + ADD",34081441,61688778,180437856,-77.070307568,38.913446043,"2","","",523,5,175,25,0.334608030592734,0.0478011472275335,0.00956022944550669,320.267686424474,65165.2791586998,203.471289552239
"DCPS","Francis-Stevens Education Campus",409,"2425 N St  NW","437","Phase 0",NA,"ES/MS",95088,"STABILIZED",1314689,20178000,22278000,-77.052320997,38.907469168,"2","","Cardozo EC (9-12)",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,229.68115942029,3175.57729468599,13.8260243143194
"DCPS","H.D. Cooke Elementary School",227,"2525 17th St NW","440","Full",2009,"ES",85696,"FULL MOD + ADD",32500688,0,32500688,-77.038810584,38.923942751,"1","CHEC (6-8)","Cardozo EC (9-12)",400,164,215,42,0.5375,0.105,0.41,214.24,81251.72,379.255601194922
"DCPS","Hardy Middle School",246,"1819 35th St  NW","485","Full",2008,"MS",107200,"FULL MOD + ADD",50758871,0,50758871,-77.068613896,38.915508698,"2","","Wilson HS",386,18,96,62,0.248704663212435,0.160621761658031,0.0466321243523316,277.720207253886,131499.665803109,473.496930970149
"DCPS","Hart Middle School",413,"601 Mississippi Ave  SE","912","Phase I",2011,"MS",210700,"PARTIAL MOD",13075759,0,13214760,-76.997178747,38.837737537,"8",NA,"Ballou HS",479,0,393,128,0.820459290187891,0.267223382045929,0,439.874739039666,27298.0354906054,62.0586568580921
"DCPS","Jefferson Middle School",433,"801 7th St SW","570","Phase 0",NA,"MS",108992,"STABILIZED",0,35993000,35993000,-77.02291066,38.879870599,"6","","Eastern HS",277,3,179,67,0.646209386281588,0.24187725631769,0.0108303249097473,393.472924187726,0,0
"DCPS","Kelly Miller Middle School",421,"301 49th St  NE","600","Full",2004,"MS",114992,"FULL REPLACEMENT",10614880,0,10614880,-76.932455065,38.893315031,"7","","HD Woodson HS",546,7,382,146,0.6996336996337,0.267399267399267,0.0128205128205128,210.608058608059,19441.1721611722,92.3097258939752
"DCPS","King Elementary School",344,"3200 6th St  SE","444","Phase 0",NA,"ES",65496,"STABILIZED",4118755,372458,6567738,-76.998238991,38.842442852,"8","Hart MS","Ballou HS",372,2,327,55,0.879032258064516,0.147849462365591,0.00537634408602151,176.064516129032,11071.9220430108,62.8855960669354
"DCPS","Kramer Middle School",417,"1700 Q St  SE","600","Phase I",2014,"MS",153984,"PARTIAL MOD",30951777,0,35059047,-76.980171305,38.87128607,"8",NA,"Anacostia HS",333,0,267,110,0.801801801801802,0.33033033033033,0,462.414414414414,92948.2792792793,201.006448721945
"DCPS","LaSalle-Backus Education Campus",264,"501 Riggs Road NE","400","Phase I",2012,"ES/MS",63000,"PARTIAL MOD",14206295,0,14545500,-76.999882544,38.959971809,"4","","Coolidge HS",349,106,183,50,0.524355300859599,0.143266475644699,0.303724928366762,180.515759312321,40705.7163323782,225.496746031746
"DCPS","Phelps Architecture, Construction, and Engineering High School",478,"704 26th Street NE","512","Full",2008,"HS",146976,"FULL MOD + ADD",0,0,NA,-76.971897631,38.901991687,"5","","",323,9,166,42,0.513931888544892,0.130030959752322,0.0278637770897833,455.034055727554,0,0
"DCPS","School Without Walls High School",466,"2130 G St NW","520","Full",2009,"HS",74000,"FULL MOD + ADD",0,0,NA,-77.048186466,38.898123787,"2","","",590,0,91,4,0.154237288135593,0.00677966101694915,0,125.423728813559,0,0
"DCPS","Sousa Middle School",427,"3650 Ely Pl SE","636","Full",2008,"MS",136000,"FULL MOD",0,0,NA,-76.953158845,38.883894076,"7",NA,"Anacostia HS",284,0,209,82,0.735915492957746,0.288732394366197,0,478.87323943662,0,0
"DCPS","Wilson High School",463,"3950 Chesapeake St NW","1700","Full",2011,"HS",376448,"FULL MOD + ADD",114246156,0,114320882,-77.077775201,38.950155808,"3","","",1788,106,550,263,0.307606263982103,0.147091722595078,0.0592841163310962,210.541387024608,63896.0604026846,303.484560948657
"DCPS","Bruce-Monroe Elementary School @ Park View",296,"3560 Warder St  NW","609","Phase I",2012,"ES",82192,"PARTIAL MOD",11264300,0,17026865,-77.021185666,38.934413761,"1","CHEC (6-8)","Cardozo EC (9-12)",465,290,235,56,0.505376344086022,0.120430107526882,0.623655913978495,176.756989247312,24224.3010752688,137.048617870352
"DCPS","Columbia Heights Education Campus",442,"3101 16th St  NW","1400","Full",2006,"MS/HS",325218,"FULL REPLACEMENT",78652173,0,78652173,-77.035858309,38.929544434,"1","","Cardozo HS (9-12)",1384,429,744,153,0.53757225433526,0.110549132947977,0.309971098265896,234.984104046243,56829.6047687861,241.844464328543
"DCPS","John Hayden Johnson Middle School",416,"1400 Bruce Pl  SE","730","Phase I",2013,"MS",182496,"PARTIAL MOD",18602234,-5857,20521528,-76.983703681,38.851336572,"8",NA,"Ballou HS",291,3,229,103,0.786941580756014,0.353951890034364,0.0103092783505155,627.134020618557,63925.2027491409,101.932283447308
"DCPS","Stuart-Hobson Middle School",428,"410 E St  NE","450","Full",2015,"MS",115242,"FULL MOD + ADD",44653267,1190116,47666762,-77.00000438,38.89629737,"6","","Eastern HS",423,3,143,83,0.33806146572104,0.196217494089835,0.00709219858156028,272.439716312057,105563.278959811,387.473898405095
"DCPS","Washington Metropolitan High School",474,"300 Bryant Street NW","350","Phase 0",NA,"ALT",49496,"STABILIZED",0,9900000,9900000,-77.015584665,38.920429783,"1","","",244,2,0,56,0,0.229508196721311,0.00819672131147541,202.852459016393,0,0
"DCPS","Benjamin Banneker High School",402,"800 Euclid St  NW","620","Phase 0",NA,"HS",180000,"STABILIZED",671104,77074000,78745104,-77.023976968,38.923832421,"1","","",449,3,113,0,0.251670378619154,0,0.0066815144766147,400.890868596882,1494.66369710468,3.72835555555556
"DCPS","Oyster-Adams Bilingual School (Oyster)",201,"2801 Calvert St NW","350","Full",2001,"ES",47984,"FULL REPLACEMENT",0,0,NA,-77.044377251,38.917309201,"3",NA,"Wilson HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"DCPS","Brookland Education Campus @ Bunker Hill",346,"1401 Michigan Ave  NE","480","Phase I",2012,"ES",69392,"PARTIAL MOD",6533765,0,6544178,-76.984995636,38.942012134,"5","Brookland MS","Dunbar HS",225,8,108,38,0.48,0.168888888888889,0.0355555555555556,308.408888888889,29038.9555555556,94.1573236107909
"DCPS","Dunbar High School (OLD)",467,"101 N St. NW","1100","Full",2013,NA,NA,NA,NA,NA,NA,-77.014693861,38.908523215,"5","","",653,6,483,198,0.739663093415008,0.303215926493109,0.00918836140888208,NA,NA,NA
"DCPS","Malcolm X Elementary School",308,"1500 Mississippi Ave. SE Washington","248","Phase 0",NA,"ES",77700,"STABILIZED",0,0,52963,-76.983398577,38.841645061,"8","Johnson MS","Ballou HS",244,0,207,31,0.848360655737705,0.127049180327869,0,318.44262295082,0,0
"DCPS","Old Randle",316,"1650 30th St  SE","450","Full",2002,NA,NA,NA,NA,NA,NA,-76.964356283,38.870091402,"7","Kramer MS","Anacostia HS",360,3,228,49,0.633333333333333,0.136111111111111,0.00833333333333333,NA,NA,NA
"DCPS","Cardozo EC",454,"1200 Clifton St. NW","1070","Full",2013,NA,NA,NA,NA,NA,NA,-77.028470794,38.922172198,"1","","",781,266,573,188,0.733674775928297,0.240717029449424,0.340588988476312,NA,NA,NA
"DCPS","Capitol Hill Montessori School @ Logan",360,"215 G Street NE","360","Phase 0",NA,"ES/MS",47200,"STABILIZED",975866,11987136,14637256,-77.002562701,38.898529974,"6",NA,"Eastern HS",310,3,25,11,0.0806451612903226,0.0354838709677419,0.00967741935483871,152.258064516129,3147.95483870968,20.6751271186441
"DCPS","Luke C. Moore High School",884,"1001 Monroe St NE","350","Full",2006,"ALT",65528,"FULL MOD + ADD",0,0,NA,-76.992316326,38.932276047,"5","","",350,2,0,41,0,0.117142857142857,0.00571428571428571,187.222857142857,0,0
"DCPS","Prospect Learning Center",242,"920 F STREET NE","450","Phase I",2005,"ES",59200,"PARTIAL MOD",1365487,12028931,16383000,-76.993183024,38.897564662,"6",NA,"",126,1,70,37,0.555555555555556,0.293650793650794,0.00793650793650794,469.84126984127,10837.1984126984,23.0656587837838
"DCPS","Brookland MS",219,NA,NA,"",2014,"MS",110000,"FULL REPLACEMENT",58053351,-1202174,62711400,-76.99182,38.93741,"5","Brookland MS","Dunbar HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,527.757736363636
"DCPS","Oyster-Adams Bilingual School (Adams)",201,"2020 19th St. NW","324","Phase 0",NA,"MS",59400,"STABILIZED",3803375,12236000,16039375,-77.044377251,38.917309201,"3",NA,"Wilson HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0298821548822
"DCPS","Woodson, H.D. HS",464,"540 55th St. NE","1000","Full",2011,"HS",253406,"FULL REPLACEMENT",107742134,0,107779131,-76.922322143,38.896782823,"7","","",639,6,501,193,0.784037558685446,0.302034428794992,0.00938967136150235,396.566510172144,168610.538341158,425.175939006969
"DCPS","river terrace sp. ed.",304,NA,NA,NA,NA,"SPED",77707,"FULL MOD + ADD",32133707,-2200000,35717175,-76.95752,38.89495,"7",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,413.52396823967
"DCPS","Roosevelt High School",459,"4301 13th St NW","1030","Full",2015,"HS",331840,"FULL MOD + ADD",117015598,1887406,143557836,-77.027776341,38.943608176,"4","","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,245831.088235294,352.62656099325
"DCPS","Ballou HS (includes STAY Program)",452,"3401 4th St  SE","1520","Full",2015,NA,NA,NA,NA,NA,NA,-77.000975263,38.839382331,"8","","",755,0,644,276,0.852980132450331,0.365562913907285,0,NA,NA,NA
"DCPS","Sharpe Health School",312,"420 34th St NW","120",NA,NA,"ALT",80500,"STABILIZED",2089951,0,2089951,NA,NA,NA,NA,"",60,7,31,3,0.516666666666667,0.05,0.116666666666667,1341.66666666667,34832.5166666667,25.9621242236025
"DCPS","McKinley Technology High School",435,"151 T St NE","1160","Full",2014,"",62000,"FULL MOD",NA,NA,NA,-77.004122439,38.915219785,"5","","Dunbar HS",202,5,119,31,0.589108910891089,0.153465346534653,0.0247524752475248,306.930693069307,NA,NA
"DCPS","McKinley Technology High School",458,"151 T St NE","1160","Full",2004,"HS",282200,"FULL MOD",77382544,0,77443210,-77.00488219,38.915210095,"5","","",645,6,239,12,0.370542635658915,0.0186046511627907,0.00930232558139535,437.519379844961,119972.936434109,274.211708008505
"DCPS","Roosevelt High School",459,"4301 13th St NW","1030","Full",2015,"HS",331840,"FULL MOD + ADD",117015598,1887406,143557836,-77.027776341,38.943608176,"4","","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,245831.088235294,352.62656099325
"DCPS","Ballou HS (includes STAY Program)",462,"3401 4th St  SE","1520","Full",2015,NA,NA,NA,NA,NA,NA,-77.000975263,38.839382331,"8",NA,NA,591,0,0,52,0,0.0879864636209814,0,NA,NA,NA
"DCPS","Sharpe Health School",265,"420 34th St NW","120",NA,NA,"ALT",80500,"STABILIZED",2089951,0,2089951,NA,NA,NA,NA,NA,56,4,29,0,0.517857142857143,0,0.0714285714285714,1437.5,37320.5535714286,25.9621242236025
"DCPS","CHOICE Academy",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.006775952,38.913502755,"5",NA,NA,5,0,0,0,0,0,0,NA,NA,NA
"DCPS","Incarcerated Youth Program",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.976378916,38.883430572,"7",NA,NA,28,1,0,18,0,0.642857142857143,0.0357142857142857,NA,NA,NA
"DCPS","Youth Services Center",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.988585838,38.91213926,"5",NA,NA,76,1,0,32,0,0.421052631578947,0.0131578947368421,NA,NA,NA
"DCPS","Dorothy Height ES",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03087,38.94452,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCS","Briya Public Charter School",126,"1755 Newton Street, NW","N/A",NA,NA,"ADULT",NA,NA,NA,NA,NA,-77.0398061,38.92097271,"1",NA,NA,NA,50,20,5,NA,NA,NA,NA,NA,NA
"PCS","Briya Public Charter School",126,"2333 Ontario Road, NW (Main Office)","N/A",NA,NA,"ADULT",NA,NA,NA,NA,NA,-77.0398061,38.92097271,"1",NA,NA,NA,50,20,5,NA,NA,NA,NA,NA,NA
"PCS","Briya Public Charter School",126,"3912 Georgia Avenue, NW","663",NA,NA,"ADULT",26940,NA,NA,NA,NA,-77.0398061,38.92097271,"1",NA,NA,492,50,20,5,0.040650406504065,0.0101626016260163,0.101626016260163,54.7560975609756,NA,NA
"PCS","Early Childhood Academy PCS",138,"4025 9th Street, SE","178",NA,NA,"ES",15602,NA,NA,NA,NA,-76.99053162,38.83175194,"8",NA,NA,207,0,167,22,0.806763285024155,0.106280193236715,0,75.3719806763285,NA,NA
"PCS","Early Childhood Academy PCS",138,"4301 9th Street, SE ","122",NA,NA,"ES",4012,NA,NA,NA,NA,-76.99053162,38.83175194,"8",NA,NA,53,0,167,22,3.15094339622642,0.415094339622642,0,75.6981132075472,NA,NA
"PCS","Bridges PCS",142,"1244 Taylor Street. NW","155",NA,NA,"ES",10776,NA,NA,NA,NA,-77.02862381,38.94050005,"4",NA,NA,142,102,93,77,0.654929577464789,0.542253521126761,0.71830985915493,75.887323943662,NA,NA
"PCS","Bridges PCS",142,"1250 Taylor Street, NW","89",NA,NA,"ES",3900,NA,NA,NA,NA,-77.02862381,38.94050005,"4",NA,NA,51,102,93,77,1.82352941176471,1.50980392156863,2,76.4705882352941,NA,NA
"PCS","Bridges PCS",142,"4300 13th Street NW
","290
",NA,NA,"ES",6000,NA,NA,NA,NA,-77.02862381,38.94050005,"4",NA,NA,79,102,93,77,1.17721518987342,0.974683544303797,1.29113924050633,75.9493670886076,NA,NA
"PCS","Roots PCS",173,"15 Kennedy Street, NW","70",NA,NA,"ES",9000,NA,NA,NA,NA,-77.01030958,38.95686375,"4",NA,NA,82,2,39,7,0.475609756097561,0.0853658536585366,0.024390243902439,109.756097560976,NA,NA
"PCS","Roots PCS",173,"6222 North Capitol Street, NW","160",NA,NA,"ES",1374,NA,NA,NA,NA,-77.01030958,38.95686375,"4",NA,NA,13,2,39,7,3,0.538461538461538,0.153846153846154,105.692307692308,NA,NA
"PCS","Latin American Montessori Bilingual (LAMB) PCS",193,"1800 Perry Street, NE","220",NA,NA,"ES",20200,NA,NA,NA,NA,-77.03239905,38.96216089,"4",NA,NA,188,129,40,38,0.212765957446809,0.202127659574468,0.686170212765957,107.446808510638,NA,NA
"PCS","Latin American Montessori Bilingual (LAMB) PCS",193,"1375 Missouri Avenue, NW","346",NA,NA,"ES",16468,NA,NA,NA,NA,-77.03239905,38.96216089,"4",NA,NA,154,129,40,38,0.25974025974026,0.246753246753247,0.837662337662338,106.935064935065,NA,NA
"PCS","Two Rivers PCS",198,"1227 4th Street, NE ","537",NA,NA,"ES/MS",33076,NA,NA,NA,NA,-77.00029965,38.90675361,"6",NA,NA,336,20,126,107,0.375,0.318452380952381,0.0595238095238095,98.4404761904762,NA,NA
"PCS","Two Rivers PCS",198,"1234 4th Street, NE","149",NA,NA,"ES/MS",17929,NA,NA,NA,NA,-77.00029965,38.90675361,"6",NA,NA,182,20,126,107,0.692307692307692,0.587912087912088,0.10989010989011,98.510989010989,NA,NA
"PCS","D C  Bilingual PCS",199,"1420 Columbia Road, NW","549",NA,NA,"ES",50000,NA,NA,NA,NA,-77.0333075,38.92719562,"1",NA,NA,243,180,130,56,0.534979423868313,0.230452674897119,0.740740740740741,205.761316872428,NA,NA
"PCS","D C  Bilingual PCS",199,"3029 14th Street, NW","260",NA,NA,"ES",25000,NA,NA,NA,NA,-77.0333075,38.92719562,"1",NA,NA,121,180,130,56,1.07438016528926,0.462809917355372,1.48760330578512,206.611570247934,NA,NA
"PCS","Academy of Hope Adult PCS",233,"
421 Alabama Avenue, SE","111",NA,NA,"ADULT",12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,0,0,0,0,0,0,83.3333333333333,NA,NA
"PCS","Academy of Hope Adult PCS",233,"601 Edgewood Street, NE","75",NA,NA,"ADULT",9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,0,0,0,0,0,0,83.7053571428571,NA,NA
"PCS","Carlos Rosario International PCS Harvard Street Campus",1119,"514 V Street, NE","414",NA,NA,"ADULT",48000,NA,NA,NA,NA,-77.02755753,38.92646384,"1",NA,NA,717,113,0,0,0,0,0.157601115760112,66.9456066945607,NA,NA
"PCS","Carlos Rosario International PCS Harvard Street Campus",1119,"1100 Harvard Street, NW"," 	1,200 ",NA,NA,"ADULT",84000,NA,NA,NA,NA,-77.02755753,38.92646384,"1",NA,NA,1256,113,0,0,0,0,0.089968152866242,66.8789808917197,NA,NA
"PCS","Friendship PCS Tech Prep",1124,"2705 Martin Luther King Jr. Avenue, SE","848",NA,NA,"MS/HS",59125,NA,NA,NA,NA,-76.99757265,38.84826749,"8",NA,NA,445,1,353,90,0.793258426966292,0.202247191011236,0.00224719101123596,132.865168539326,NA,NA
"PCS","Friendship PCS Tech Prep",1124,"620 Milwaukee Place, SE","200",NA,NA,"MS/HS",7224,NA,NA,NA,NA,-76.99757265,38.84826749,"8",NA,NA,54,1,353,90,6.53703703703704,1.66666666666667,0.0185185185185185,133.777777777778,NA,NA
"PCS","Capital City High School PCS",1207,"102 Peabody Street, NW","",NA,NA,"HS",57033,NA,NA,NA,NA,-77.01286745,38.96216486,"4",NA,NA,354,50,148,60,0.418079096045198,0.169491525423729,0.141242937853107,161.110169491525,NA,NA
"PCS","Capital City High School PCS",1207,"4502 Kansas Avenue, NW","",NA,NA,"ES",53800,NA,NA,NA,NA,-77.01286745,38.96216486,"4",NA,NA,333,50,148,60,0.444444444444444,0.18018018018018,0.15015015015015,161.561561561562,NA,NA
"PCS","AppleTree Early Learning PCS Southeast",3072,"2011 Savannah Terrace, SE","120",NA,NA,"PK3-K",7484,NA,NA,NA,NA,-76.9749201,38.84876326,"8",NA,NA,78,1,129,4,1.65384615384615,0.0512820512820513,0.0128205128205128,95.9487179487179,NA,NA
"PCS","AppleTree Early Learning PCS Southeast",3072,"2017 Savannah Terrace, SE","110",NA,NA,"PK3-K",9677,NA,NA,NA,NA,-76.9749201,38.84876326,"8",NA,NA,100,1,129,4,1.29,0.04,0.01,96.77,NA,NA
"PCS","D C  Preparatory Edgewood Middle Campus PCS",196," 701 Edgewood Street, NE","340",NA,NA,"MS",39746,NA,NA,NA,NA,-76.99600905,38.92473904,"5",NA,NA,294,1,101,46,0.343537414965986,0.156462585034014,0.00340136054421769,135.190476190476,NA,NA
"PCS","D C  Preparatory Benning Campus PCS",1110,"100 41st Street, NE","849",NA,NA,"ES",80352,NA,NA,NA,NA,-76.94482148,38.8910218,"7",NA,NA,442,8,231,22,0.52262443438914,0.0497737556561086,0.0180995475113122,181.79185520362,NA,NA
"PCS","Capital City Lower PCS",184,"100 Peabody Street, NW"," 	1,180 ",NA,NA,"ES",57033,NA,NA,NA,NA,-77.01286745,38.96216486,"4",NA,NA,322,95,72,15,0.22360248447205,0.046583850931677,0.295031055900621,177.121118012422,NA,NA
"PCS","D C Preparatory Benning Middle Campus",218,"101 41st Street, NE","",NA,NA,"MS",26784,NA,NA,NA,NA,-76.94482148,38.8910218,"7",NA,NA,152,1,67,22,0.440789473684211,0.144736842105263,0.00657894736842105,176.210526315789,NA,NA
"PCS","Capital City Middle School",182,"101 Peabody Street, NW","",NA,NA,"MS",57033,NA,NA,NA,NA,-77.01286745,38.96216486,"4",NA,NA,320,38,111,56,0.346875,0.175,0.11875,178.228125,NA,NA
"PCS","Eagle Academy PCS New Jersey Avenue Campus",1125,"1017 New Jersey Avenue, SE","190",NA,NA,"ES",8500,NA,NA,NA,NA,-77.00508258,38.8778378,"6",NA,NA,146,0,79,11,0.541095890410959,0.0753424657534247,0,58.2191780821918,NA,NA
"PCS","IDEA PCS",163,"1027 45th Street, NE","490",NA,NA,"HS",70000,NA,NA,NA,NA,-76.93710358,38.90454891,"7",NA,NA,217,1,165,42,0.76036866359447,0.193548387096774,0.00460829493087558,322.58064516129,NA,NA
"PCS","Center City Trinidad Campus PCS",1108,"1217 W  Virginia Avenue, NE","434",NA,NA,"ES/MS",23313,NA,NA,NA,NA,-76.99120218,38.90529915,"5",NA,NA,236,4,132,26,0.559322033898305,0.110169491525424,0.0169491525423729,98.7838983050847,NA,NA
"PCS","Community Academy Amos I",105,"1300 Allison Street, NW","957",NA,NA,"ES",55000,NA,NA,NA,NA,-77.03054061,38.94470049,"4",NA,NA,590,213,261,53,0.442372881355932,0.0898305084745763,0.361016949152542,93.2203389830509,NA,NA
