GIS_ID,OBJECTID_1,OBJECTID,BLDG_NUM,SCHOOLNAME,SHAPE_LENG,SHAPE_Length,SHAPE_Area
dcps_232,1,22,232,Eaton,8508.930192,8596.862047,2393390.255545
dcps_204,2,23,204,Bancroft,3852.484504,3841.684586,752745.177593
dcps_302,3,24,302,Raymond,3712.656031,3723.087692,496124.233593
dcps_328,4,25,328,Tubman,3677.305259,3682.531775,565091.238012
dcps_296,5,26,296,Bruce-Monroe,6847.726,6813.972435,1296194.366594
dcps_965,6,27,311,Langley,5214.029328,5317.043471,1377579.912519
dcps_227,7,28,227,"Cooke, H.D.",3546.823179,3568.600667,495992.541542
dcps_290,8,29,290,Noyes,5652.474886,5697.097191,1187000.335122
-1000007,9,30,278,Meyer,4346.612419,4357.669173,475027.902818
dcps_224,10,31,224,Cleveland,3573.017342,3567.700132,341604.305807
dcps_284,11,32,284,"Reed, Marie",3495.038374,3533.36617,506234.744867
-1000008,12,33,281,Gage-Eckington,4494.110641,4501.801844,1029433.0025
-1000027,13,34,201,Adams,6373.431943,6179.804219,1070704.484674
dcps_965,14,35,235,Langley,5347.124234,5148.024264,1204444.348719
dcps_239,15,36,239,Garrison,5186.273328,5180.515491,1031312.292042
-1000009,16,37,341,Young,11538.054159,11194.278821,4077151.635133
dcps_338,17,5,338,Whittier,6241.012245,6262.610988,2183218.253384
dcps_206,18,59,206,Beers,5919.582147,5940.978388,1308436.948235
dcps_266,19,60,266,Leckie,25246.611829,26177.335669,15962931.370048
-1000038,20,61,355,Winston,5491.339663,5506.081228,1348921.707004
dcps_231,21,101,231,Drew,4332.191697,4341.162698,1017136.304755
dcps_307,22,62,307,Savoy,3570.213167,3735.393612,535583.673496
-1000013,23,63,354,Wilkinson,4543.59555,4731.042977,510321.278764
dcps_920,24,64,285,Moten,5111.695029,5096.49876,708249.342899
dcps_238,25,65,238,Garfield,4163.721362,4181.567985,656383.405368
dcps_344,26,66,344,"King, M.L.",4168.963695,4189.417581,892817.524124
dcps_308,27,67,308,Malcolm X,3686.349586,3747.50907,333078.696459
-1000014,28,68,244,Green,4793.09381,4863.268449,1040319.253491
dcps_315,29,69,315,Simon,5088.544738,5109.968954,1132665.545215
-1000022,30,70,230,Draper,2506.729704,2530.237377,373664.701065
-1000035,31,71,343,Ferebee-Hope,3105.361891,3139.772016,395198.14901
-1000003,32,72,352,"Harris, P.R. EC",5112.509378,5108.925177,684656.183842
dcps_249,33,73,249,Hendley,2745.901414,2744.578631,320861.289643
dcps_294,34,74,294,Patterson,3937.262666,4048.588912,692619.946241
-1000028,35,85,351,"Marshall, Thurgood",6781.874353,6761.191052,2056630.671227
dcps_271,36,86,271,Ludlow-Taylor,3936.464628,3925.540884,668625.637846
dcps_274,37,87,271,Maury,3288.701376,3294.259557,587734.629084
-1000017,38,88,342,Slowe,3239.974768,3243.134119,591297.723468
dcps_257,39,83,257,Ketcham,5640.498082,5570.36958,1134124.880931
dcps_319,40,84,319,Stanton,5156.434689,5194.205888,1050155.205533
-1000031,41,18,300,Powell,6574.152183,6560.37569,1981766.339559
dcps_220,42,19,220,Burroughs,5868.114641,5891.980106,1778528.451016
-1000006,43,20,293,Park View,5687.67753,5716.662697,1425958.267207
dcps_326,44,47,326,Thomson,5915.509595,5912.161102,2047247.510161
-1000012,45,48,207,Benning,4584.815858,4528.08249,963914.187054
-1000024,46,49,301,Peabody,3794.229188,3807.188377,706796.006132
dcps_295,47,50,295,Payne,6030.397916,6005.054927,1489536.587691
dcps_259,48,51,259,Kimball,7289.236567,7423.057437,2334505.291259
dcps_299,49,52,299,Plummer,5456.766904,5475.778238,1268750.372446
dcps_212,50,53,212,Brent,4602.71675,4590.799499,1157794.25155
dcps_247,51,54,247,"Harris, C.W.",5285.356968,5438.805632,629423.505497
-1000026,52,55,333,Watkins,6265.82008,6254.826327,1311024.45111
-1000034,53,56,229,Davis,4991.932361,5005.190763,1524991.533803
dcps_316,54,57,316,Randle Highland,7875.605226,8085.727289,1939945.749844
dcps_287,55,6,287,Murch,11766.977099,11805.32997,5205828.670732
dcps_264,56,7,264,LaSalle,6654.196253,6629.462714,1470522.048717
dcps_327,57,9,327,Truesdell,4226.598754,4186.402927,699325.926866
-1000018,58,10,306,Rudolph,5160.355308,5173.195159,1177216.486642
dcps_336,59,11,336,West,6134.009309,6146.331028,1730737.076443
-1000004,60,12,219,Bunker Hill,7103.088559,7199.133773,1795076.727453
-1000023,61,13,205,Barnard,5508.374445,5468.460025,1134048.606304
dcps_346,62,14,346,Brookland,10063.71966,10144.500245,3811671.536743
dcps_273,63,15,273,Mann,12364.384974,12501.936745,4489360.756328
-1000005,64,16,223,Clark,6194.987061,6179.80551,1105124.493324
dcps_258,65,17,258,Hearst,7896.225007,7976.562012,2545327.801319
dcps_254,66,8,254,Janney,8713.214862,8696.34265,3175042.051219
-1000021,67,40,335,Webb,5492.612617,5469.315065,1244578.863873
-1000011,68,41,282,Montgomery,2874.760724,2877.616081,366050.637405
dcps_309,69,42,309,Seaton,3380.324094,3360.054752,412656.395481
dcps_305,70,43,305,Ross,3675.2379,3719.465731,638977.890968
-1000011,71,44,226,"Cook, J.F.",3494.150263,3302.209112,474769.9847
dcps_335,72,45,337,Wheatley,5754.428331,5740.6166,1277434.254688
dcps_325,73,46,325,Thomas,5692.188952,4815.940445,1537434.086447
dcps_203,74,75,203,Amidon,17757.733276,17600.651515,11533081.540714
dcps_280,75,76,280,Miner,3078.408216,3080.598966,548848.632886
-1000016,76,77,304,Gibbs,4390.120262,4376.867135,1073735.938207
dcps_325,77,78,304,River Terrace,3836.475353,3858.436437,909926.079959
dcps_329,78,79,329,Turner,2536.91453,2504.097008,260292.961875
-1000019,79,80,208,Birney,6720.954469,6764.654751,2348199.426959
dcps_202,80,81,202,Aiton,5134.613309,5143.991288,834928.745997
dcps_322,81,82,322,Smothers,3250.018647,3295.556404,621760.682253
dcps_313,82,1,313,Shepherd,7678.200638,7812.975599,2866064.213425
dcps_261,83,2,261,Lafayette,10862.106025,10928.923775,5710398.778359
dcps_3241,84,3,324,Takoma,6986.712118,7042.76448,1842238.154229
dcps_291,85,58,291,Orr,4177.958511,4160.825837,898812.322008
dcps_262,86,89,351,Langdon,9403.237669,9442.265789,2863249.916401
dcps_292,87,90,292,Oyster,7496.423399,7511.704998,2353421.759035
dcps_252,88,91,321,Hyde,9297.319301,9496.779056,4014386.728594
dcps_321,89,92,321,Stoddert,7626.376358,7577.113732,2765689.479734
dcps_339,90,93,339,"Wilson, J.O.",4041.155522,4016.066629,698951.056721
dcps_332,91,94,332,Walker-Jones,6613.307243,6652.534681,2377724.929489
dcps_288,92,95,288,Nalle,4463.77797,4637.494224,816373.918832
dcps_221,93,96,221,Burrville,5839.400951,5854.117015,1048575.631797
dcps_251,94,97,251,Houston,5623.965729,5621.756805,1302254.033076
-1000037,95,98,353,"Terrell, M.C.",3602.14573,3644.957257,617401.680842
dcps_203,96,99,211,Bowen,11866.41143,11809.870581,4364089.220767
dcps_330,97,100,330,Tyler,4931.201929,4968.699087,1068365.28589
-1000036,98,38,256,Kenilworth,6196.106092,5769.053045,1578006.776982
-1000010,99,39,320,Stevens,9392.187771,9363.3119,3752881.056722
dcps_272,100,21,272,Key,13787.903569,14505.034639,6232782.831918
dcps_213,101,4,213,Brightwood,8418.020891,8268.66856,2813886.461931
-1000038,102,9,355,Winston,6799.176277,6942.869819,1793644.077987
